 %      Time       Latitude      Longitude     Altitude       Vel-Xb       Vel-Yb       Vel-Zb         Roll        Pitch          Yaw       Wander     Accel-Xb     Accel-Yb     Accel-Zb     ARate-Xb     ARate-Yb     ARate-Zb
 %     (SOW)      (radians)      (radians)     (meters)        (m/s)        (m/s)        (m/s)    (radians)    (radians)    (radians)    (radians)       (m/s2)       (m/s2)       (m/s2)      (rad/s)      (rad/s)      (rad/s)
464792.67514   0.8400692819   0.2930643272   275.215728     1.996275     0.084720    -1.540472     0.013275    -0.019610    -0.888615     0.000000     0.000875    -0.135255     0.169043     0.000875    -0.001592     0.041998
464792.68014   0.8400692829   0.2930643254   275.223461     1.995602     0.085569    -1.541426     0.013279    -0.019607    -0.888816     0.000000    -0.001323    -0.131351     0.229681    -0.001323     0.003106     0.036593
464792.68514   0.8400692839   0.2930643237   275.231199     1.994813     0.086515    -1.542582     0.013294    -0.019613    -0.888994     0.000000    -0.001822    -0.210516     0.227729    -0.001822     0.000508     0.033991
464792.69014   0.8400692849   0.2930643219   275.238943     1.993810     0.087146    -1.543436     0.013296    -0.019618    -0.889166     0.000000    -0.000923    -0.185040     0.051684    -0.000923    -0.001791     0.035092
464792.69514   0.8400692859   0.2930643201   275.246689     1.992855     0.087656    -1.543743     0.013294    -0.019622    -0.889341     0.000000    -0.001423    -0.201628     0.076136    -0.001423     0.000608     0.035092
464792.70014   0.8400692870   0.2930643183   275.254437     1.991842     0.088240    -1.544087     0.013301    -0.019626    -0.889521     0.000000    -0.000723    -0.197684     0.042884    -0.000723     0.000508     0.037494
464792.70514   0.8400692880   0.2930643166   275.262186     1.990817     0.088731    -1.544128     0.013301    -0.019625    -0.889715     0.000000     0.000575    -0.210417    -0.073503     0.000575    -0.003391     0.041497
464792.71014   0.8400692890   0.2930643148   275.269934     1.989892     0.089276    -1.543473     0.013288    -0.019622    -0.889921     0.000000    -0.001023    -0.118493    -0.246616    -0.001023    -0.003091     0.040797
464792.71514   0.8400692900   0.2930643130   275.277677     1.989290     0.089910    -1.542478     0.013280    -0.019625    -0.890118     0.000000    -0.001123    -0.107704    -0.095021    -0.001123    -0.000792     0.036393
464792.72014   0.8400692910   0.2930643113   275.285418     1.988753     0.090432    -1.542199     0.013275    -0.019627    -0.890299     0.000000    -0.000224    -0.097912     0.027232    -0.000224    -0.003890     0.035793
464792.72514   0.8400692920   0.2930643095   275.293158     1.988278     0.090697    -1.542283     0.013259    -0.019627    -0.890478     0.000000    -0.000524    -0.092045     0.001801    -0.000524    -0.004190     0.035392
464792.73014   0.8400692930   0.2930643077   275.300897     1.987935     0.090936    -1.542084     0.013249    -0.019628    -0.890655     0.000000    -0.000524    -0.010863    -0.122409    -0.000524     0.000907     0.034992
464792.73514   0.8400692940   0.2930643059   275.308636     1.987890     0.090984    -1.541816     0.013252    -0.019627    -0.890832     0.000000     0.000076     0.012599     0.077109     0.000076    -0.002591     0.036193
464792.74014   0.8400692951   0.2930643042   275.316376     1.988049     0.090719    -1.542690     0.013241    -0.019625    -0.891016     0.000000     0.000276     0.068317     0.370516     0.000276    -0.003691     0.037894
464792.74514   0.8400692961   0.2930643024   275.324123     1.988434     0.090364    -1.544477     0.013233    -0.019622    -0.891200     0.000000    -0.000124     0.079053     0.323570    -0.000124     0.000708     0.034992
464792.75014   0.8400692971   0.2930643006   275.331877     1.988898     0.089957    -1.545703     0.013239    -0.019620    -0.891372     0.000000    -0.000024     0.124026     0.067326    -0.000024    -0.000092     0.033091
464792.75514   0.8400692981   0.2930642989   275.339635     1.989562     0.089067    -1.546375     0.013234    -0.019618    -0.891542     0.000000     0.000176     0.153341     0.256083     0.000176    -0.004990     0.035793
464792.76014   0.8400692991   0.2930642971   275.347400     1.990392     0.087922    -1.548275     0.013216    -0.019615    -0.891723     0.000000     0.000375     0.169934     0.624800     0.000375    -0.002391     0.036693
464792.76514   0.8400693001   0.2930642953   275.355177     1.991260     0.086757    -1.551232     0.013214    -0.019613    -0.891906     0.000000    -0.000723     0.151341     0.499612    -0.000723     0.001307     0.036093
464792.77014   0.8400693011   0.2930642935   275.362967     1.992062     0.085375    -1.553280     0.013221    -0.019615    -0.892090     0.000000    -0.001123     0.168967     0.189576    -0.001123    -0.000592     0.038295
464792.77514   0.8400693021   0.2930642918   275.370764     1.992976     0.083752    -1.554402     0.013222    -0.019619    -0.892281     0.000000    -0.001522     0.211068     0.264886    -0.001522    -0.000292     0.038195
464792.78014   0.8400693031   0.2930642900   275.378568     1.994054     0.082330    -1.556241     0.013225    -0.019623    -0.892463     0.000000    -0.000224     0.213050     0.554384    -0.000224     0.000308     0.032991
464792.78514   0.8400693041   0.2930642882   275.386383     1.995054     0.080898    -1.558886     0.013227    -0.019623    -0.892625     0.000000    -0.000823     0.141662     0.447778    -0.000823    -0.001791     0.030789
464792.79014   0.8400693052   0.2930642864   275.394209     1.995782     0.079155    -1.560544     0.013218    -0.019625    -0.892781     0.000000    -0.000424     0.131895     0.062432    -0.000424    -0.003491     0.032390
464792.79514   0.8400693062   0.2930642849   275.401668     1.996038     0.078207    -1.560822     0.013245    -0.019611    -0.892932     0.000000    -0.000524     0.144802     0.075164    -0.000524    -0.000292     0.028287
464792.80014   0.8400693072   0.2930642831   275.409503     1.996648     0.076720    -1.561914     0.013248    -0.019614    -0.893065     0.000000    -0.001023     0.074412     0.461465    -0.001023     0.001107     0.022983
464792.80514   0.8400693084   0.2930642813   275.416851     1.996272     0.074211    -1.564472     0.013285    -0.019634    -0.893173     0.000000    -0.000823     0.014648     0.424315    -0.000823    -0.002391     0.022983
464792.81014   0.8400693094   0.2930642795   275.424703     1.996280     0.072352    -1.565986     0.013277    -0.019638    -0.893286     0.000000    -0.001522    -0.037140     0.043860    -0.001522    -0.001791     0.021782
464792.81514   0.8400693104   0.2930642777   275.432560     1.996144     0.070635    -1.566257     0.013272    -0.019649    -0.893385     0.000000    -0.003420    -0.018442     0.042884    -0.003420    -0.000692     0.016077
464792.82014   0.8400693114   0.2930642759   275.440420     1.995981     0.068829    -1.567387     0.013264    -0.019664    -0.893459     0.000000    -0.002821    -0.078931     0.539725    -0.002821    -0.003790     0.012174
464792.82514   0.8400693124   0.2930642741   275.448290     1.995589     0.066699    -1.570280     0.013248    -0.019676    -0.893515     0.000000    -0.001722    -0.124789     0.619924    -0.001722    -0.002691     0.008972
464792.83014   0.8400693134   0.2930642723   275.456173     1.994951     0.064517    -1.572628     0.013244    -0.019684    -0.893552     0.000000    -0.001423    -0.162854     0.142648    -0.001423     0.002207     0.004168
464792.83514   0.8400693144   0.2930642705   275.464063     1.994138     0.062277    -1.573239     0.013251    -0.019690    -0.893572     0.000000    -0.000623    -0.166714     0.023329    -0.000623    -0.000192     0.003267
464792.84014   0.8400693154   0.2930642687   275.471957     1.993274     0.059758    -1.574237     0.013246    -0.019691    -0.893591     0.000000     0.000475    -0.198007     0.468331     0.000475    -0.002491     0.004969
464792.84514   0.8400693164   0.2930642669   275.479860     1.992330     0.057308    -1.576779     0.013239    -0.019688    -0.893611     0.000000     0.000875    -0.204883     0.522123     0.000875     0.000208     0.001866
464792.85014   0.8400693174   0.2930642651   275.487773     1.991295     0.055061    -1.578591     0.013243    -0.019685    -0.893615     0.000000     0.000276    -0.226423    -0.004058     0.000276     0.001907    -0.001336
464792.85514   0.8400693184   0.2930642633   275.495690     1.990264     0.052790    -1.578251     0.013246    -0.019685    -0.893610     0.000000    -0.000124    -0.165785    -0.251501    -0.000124    -0.001691     0.000065
464792.86014   0.8400693194   0.2930642614   275.503603     1.989464     0.050660    -1.577577     0.013239    -0.019687    -0.893611     0.000000    -0.000823    -0.148154     0.037018    -0.000823    -0.000992     0.000565
464792.86514   0.8400693204   0.2930642596   275.511516     1.988754     0.048988    -1.577905     0.013238    -0.019694    -0.893613     0.000000    -0.002222    -0.139273     0.080054    -0.002222     0.001307     0.000065
464792.87014   0.8400693214   0.2930642578   275.519428     1.988039     0.047769    -1.577498     0.013239    -0.019705    -0.893618     0.000000    -0.002022    -0.148948    -0.413851    -0.002022    -0.001791     0.002367
464792.87514   0.8400693223   0.2930642560   275.527334     1.987333     0.047002    -1.575057     0.013227    -0.019714    -0.893634     0.000000    -0.001123    -0.111704    -0.636843    -0.001123    -0.004190     0.004869
464792.88014   0.8400693233   0.2930642542   275.535226     1.986831     0.047039    -1.572359     0.013215    -0.019720    -0.893654     0.000000    -0.001422    -0.058827    -0.347346    -0.001422     0.001107     0.002367
464792.88514   0.8400693243   0.2930642524   275.543109     1.986514     0.047826    -1.571010     0.013221    -0.019725    -0.893662     0.000000    -0.000124    -0.053895    -0.111638    -0.000124     0.001207    -0.000135
464792.89014   0.8400693253   0.2930642506   275.550985     1.986214     0.049087    -1.569909     0.013221    -0.019725    -0.893663     0.000000     0.000875    -0.057822    -0.403092     0.000875    -0.002391     0.000766
464792.89515   0.8400693263   0.2930642488   275.558853     1.985901     0.050861    -1.567449     0.013213    -0.019722    -0.893663     0.000000     0.000176    -0.045132    -0.621195     0.000176     0.000008    -0.001236
464792.90014   0.8400693272   0.2930642470   275.566708     1.985639     0.053299    -1.564715     0.013215    -0.019721    -0.893656     0.000000     0.000575    -0.031454    -0.358105     0.000575     0.001307    -0.002037
464792.90514   0.8400693282   0.2930642452   275.574553     1.985474     0.056058    -1.563436     0.013215    -0.019717    -0.893650     0.000000     0.001474    -0.019762    -0.006012     0.001474    -0.002591     0.000866
464792.91014   0.8400693292   0.2930642434   275.582395     1.985337     0.059080    -1.563193     0.013202    -0.019712    -0.893658     0.000000     0.000375    -0.045234    -0.059806     0.000375    -0.002391     0.002567
464792.91514   0.8400693302   0.2930642416   275.590235     1.985144     0.062461    -1.562338     0.013194    -0.019713    -0.893665     0.000000    -0.001422    -0.023691    -0.305294    -0.001422    -0.000492    -0.000836
464792.92014   0.8400693312   0.2930642398   275.598070     1.984969     0.065883    -1.561137     0.013192    -0.019721    -0.893662     0.000000    -0.001522    -0.049043    -0.036333    -0.001522    -0.000392    -0.000135
464792.92514   0.8400693322   0.2930642380   275.605904     1.984796     0.069053    -1.561560     0.013190    -0.019728    -0.893665     0.000000    -0.000723    -0.019643     0.388134    -0.000723    -0.000292     0.002067
464792.93014   0.8400693332   0.2930642362   275.613743     1.984695     0.072231    -1.563425     0.013190    -0.019731    -0.893671     0.000000    -0.000224    -0.047981     0.412585    -0.000224     0.000508    -0.000736
464792.93514   0.8400693342   0.2930642344   275.621591     1.984481     0.075062    -1.564799     0.013190    -0.019730    -0.893665     0.000000     0.001075    -0.051910     0.067340     0.001075    -0.000992    -0.001836
464792.94014   0.8400693352   0.2930642327   275.629444     1.984205     0.077176    -1.565202     0.013183    -0.019726    -0.893661     0.000000     0.000675    -0.070531     0.150472     0.000675    -0.001791     0.000866
464792.94514   0.8400693362   0.2930642309   275.637301     1.983986     0.078824    -1.566353     0.013180    -0.019726    -0.893665     0.000000    -0.001023    -0.008902     0.418452    -0.001023     0.001707     0.000966
464792.95014   0.8400693372   0.2930642291   275.645166     1.983906     0.080125    -1.568403     0.013190    -0.019734    -0.893665     0.000000    -0.002821    -0.055749     0.417478    -0.002821     0.002207    -0.001836
464792.95514   0.8400693382   0.2930642273   275.653040     1.983696     0.080633    -1.569846     0.013196    -0.019746    -0.893659     0.000000    -0.000923    -0.036093     0.049741    -0.000923    -0.000392     0.000265
464792.96014   0.8400693392   0.2930642255   275.660918     1.983539     0.080370    -1.570101     0.013195    -0.019750    -0.893662     0.000000    -0.000224    -0.028238     0.048763    -0.000224     0.000208     0.001266
464792.96514   0.8400693402   0.2930642238   275.668799     1.983473     0.079779    -1.570813     0.013200    -0.019750    -0.893666     0.000000     0.000375     0.011862     0.305987     0.000375     0.002607    -0.000535
464792.97014   0.8400693412   0.2930642220   275.676685     1.983458     0.078681    -1.572528     0.013212    -0.019747    -0.893663     0.000000     0.001474    -0.044905     0.377385     0.001474     0.001707    -0.000135
464792.97514   0.8400693422   0.2930642202   275.684580     1.983278     0.077000    -1.574014     0.013217    -0.019742    -0.893665     0.000000     0.000076    -0.030269     0.093754     0.000076    -0.000492     0.001266
464792.98014   0.8400693432   0.2930642184   275.692479     1.983118     0.075074    -1.574539     0.013214    -0.019745    -0.893668     0.000000    -0.001722    -0.045873     0.086908    -0.001722    -0.000592    -0.000736
464792.98514   0.8400693442   0.2930642166   275.700382     1.982942     0.073041    -1.575587     0.013210    -0.019755    -0.893663     0.000000    -0.002421    -0.035985     0.413573    -0.002421    -0.001092    -0.001636
464792.99015   0.8400693452   0.2930642148   275.708293     1.982756     0.070615    -1.578062     0.013202    -0.019765    -0.893658     0.000000    -0.000823    -0.084803     0.612113    -0.000823    -0.002391    -0.000035
464792.99515   0.8400693461   0.2930642132   275.715931     1.982276     0.068142    -1.580841     0.013201    -0.019769    -0.893659     0.000000    -0.001422    -0.107029     0.434125    -0.001422     0.001107     0.000966
464793.00015   0.8400693471   0.2930642114   275.723868     1.981727     0.065762    -1.582819     0.013210    -0.019777    -0.893661     0.000000    -0.001422    -0.135327     0.265899    -0.001422     0.002807    -0.000836
464793.00514   0.8400693482   0.2930642095   275.731682     1.980426     0.063397    -1.584667     0.013223    -0.019803    -0.893660     0.000000    -0.001722    -0.150900     0.462485    -0.001722    -0.001991     0.002067
464793.01014   0.8400693492   0.2930642077   275.739639     1.979697     0.061319    -1.587332     0.013212    -0.019809    -0.893673     0.000000    -0.000324    -0.174321     0.617014    -0.000324    -0.002391     0.003668
464793.01514   0.8400693502   0.2930642059   275.747609     1.978822     0.059767    -1.590004     0.013209    -0.019811    -0.893685     0.000000    -0.000324    -0.204620     0.349034    -0.000324     0.002307    -0.000035
464793.02014   0.8400693512   0.2930642041   275.755589     1.977754     0.058654    -1.591287     0.013217    -0.019816    -0.893684     0.000000    -0.002022    -0.236834     0.054648    -0.002022     0.000408    -0.000836
464793.02514   0.8400693522   0.2930642023   275.763573     1.976554     0.057908    -1.591853     0.013216    -0.019824    -0.893684     0.000000    -0.000523    -0.255351     0.192551    -0.000523    -0.001591     0.002067
464793.03014   0.8400693531   0.2930642005   275.771561     1.975270     0.057749    -1.592828     0.013212    -0.019827    -0.893693     0.000000    -0.000623    -0.271947     0.184727    -0.000623     0.000608     0.000966
464793.03514   0.8400693541   0.2930641987   275.779553     1.973830     0.058110    -1.593172     0.013211    -0.019831    -0.893695     0.000000    -0.000723    -0.317878    -0.143891    -0.000723    -0.001491    -0.000636
464793.04014   0.8400693551   0.2930641970   275.787542     1.972144     0.058529    -1.592084     0.013196    -0.019836    -0.893694     0.000000    -0.001223    -0.366729    -0.343410    -0.001223    -0.005690     0.000665
464793.04514   0.8400693561   0.2930641952   275.795526     1.970313     0.059165    -1.590670     0.013176    -0.019841    -0.893697     0.000000    -0.000623    -0.365702    -0.164432    -0.000623    -0.000992    -0.000235
464793.05014   0.8400693571   0.2930641934   275.803504     1.968464     0.060244    -1.590014     0.013176    -0.019845    -0.893693     0.000000    -0.000623    -0.371536    -0.070540    -0.000623     0.001907    -0.001836
464793.05514   0.8400693581   0.2930641916   275.811480     1.966592     0.061425    -1.589456     0.013180    -0.019849    -0.893686     0.000000    -0.001123    -0.374423    -0.183012    -0.001123    -0.001291    -0.000135
464793.06014   0.8400693590   0.2930641898   275.819452     1.964737     0.062507    -1.588441     0.013172    -0.019852    -0.893689     0.000000     0.000475    -0.361689    -0.230936     0.000475    -0.001891     0.002067
464793.06515   0.8400693600   0.2930641880   275.827420     1.962957     0.063862    -1.587568     0.013167    -0.019851    -0.893695     0.000000    -0.000124    -0.341157    -0.064671    -0.000124     0.000308    -0.001036
464793.07014   0.8400693610   0.2930641863   275.835385     1.961223     0.065390    -1.587459     0.013165    -0.019854    -0.893688     0.000000    -0.000823    -0.358733     0.068342    -0.000823    -0.001491    -0.002137
464793.07514   0.8400693620   0.2930641845   275.843351     1.959538     0.066617    -1.587789     0.013152    -0.019858    -0.893680     0.000000    -0.000523    -0.318596     0.080078    -0.000523    -0.004290    -0.000736
464793.08014   0.8400693630   0.2930641827   275.851319     1.958046     0.067685    -1.588229     0.013135    -0.019862    -0.893673     0.000000    -0.001123    -0.286276     0.123110    -0.001123    -0.001991    -0.002637
464793.08514   0.8400693639   0.2930641810   275.859291     1.956745     0.068772    -1.589041     0.013129    -0.019869    -0.893661     0.000000    -0.001522    -0.236326     0.248299    -0.001522     0.000408    -0.001836
464793.09014   0.8400693649   0.2930641792   275.867268     1.955705     0.069687    -1.590313     0.013127    -0.019873    -0.893660     0.000000     0.000575    -0.181530     0.275684     0.000575    -0.001991     0.002767
464793.09514   0.8400693659   0.2930641774   275.875251     1.955056     0.070379    -1.591448     0.013116    -0.019873    -0.893673     0.000000    -0.000523    -0.064165     0.152451    -0.000523    -0.002291     0.002167
464793.10014   0.8400693669   0.2930641757   275.883239     1.954896     0.071037    -1.592247     0.013112    -0.019880    -0.893675     0.000000    -0.002521     0.005354     0.192551    -0.002521     0.001507    -0.003238
464793.10514   0.8400693679   0.2930641739   275.891232     1.955086     0.071502    -1.593252     0.013118    -0.019890    -0.893658     0.000000    -0.001223     0.078804     0.230697    -0.001223     0.000708    -0.003438
464793.11014   0.8400693688   0.2930641722   275.899230     1.955613     0.071749    -1.594291     0.013121    -0.019894    -0.893646     0.000000     0.000675     0.138483     0.177884     0.000675     0.000508    -0.000535
464793.11515   0.8400693698   0.2930641704   275.907232     1.956485     0.072018    -1.594973     0.013127    -0.019891    -0.893643     0.000000     0.000276     0.234310     0.070301     0.000276     0.002507    -0.000435
464793.12014   0.8400693708   0.2930641686   275.915237     1.957735     0.072313    -1.595576     0.013137    -0.019892    -0.893645     0.000000    -0.000623     0.278334     0.224832    -0.000623     0.001507     0.001866
464793.12514   0.8400693718   0.2930641669   275.923248     1.959266     0.072537    -1.596908     0.013142    -0.019891    -0.893659     0.000000     0.001574     0.344818     0.359801     0.001574    -0.000192     0.005269
464793.13014   0.8400693728   0.2930641651   275.931265     1.961045     0.072892    -1.598407     0.013149    -0.019885    -0.893681     0.000000     0.000975     0.368230     0.208205     0.000975     0.003906     0.002567
464793.13514   0.8400693738   0.2930641633   275.939287     1.962973     0.073350    -1.598893     0.013170    -0.019884    -0.893688     0.000000    -0.001223     0.427899    -0.090093    -0.001223     0.004506    -0.000736
464793.14014   0.8400693748   0.2930641616   275.947310     1.965055     0.073529    -1.598771     0.013185    -0.019891    -0.893685     0.000000    -0.001422     0.407429     0.117253    -0.001422     0.000608    -0.000135
464793.14514   0.8400693757   0.2930641598   275.955335     1.967116     0.073574    -1.599582     0.013190    -0.019896    -0.893686     0.000000     0.000376     0.414304     0.268850     0.000376     0.001807     0.000966
464793.15014   0.8400693767   0.2930641580   275.963364     1.969078     0.073850    -1.600357     0.013200    -0.019895    -0.893688     0.000000    -0.000324     0.353669    -0.032383    -0.000324     0.002307    -0.000836
464793.15514   0.8400693777   0.2930641562   275.971393     1.970798     0.074039    -1.599676     0.013203    -0.019898    -0.893688     0.000000    -0.000523     0.338044    -0.302319    -0.000523    -0.002391     0.001866
464793.16014   0.8400693787   0.2930641545   275.979417     1.972434     0.073941    -1.598488     0.013193    -0.019897    -0.893703     0.000000     0.001474     0.317484    -0.092044     0.001474    -0.001791     0.005069
464793.16514   0.8400693797   0.2930641527   275.987438     1.973959     0.074103    -1.598174     0.013193    -0.019892    -0.893724     0.000000     0.000475     0.292008     0.008693     0.000475     0.003007     0.002567
464793.17015   0.8400693807   0.2930641509   275.995456     1.975259     0.074485    -1.597493     0.013207    -0.019891    -0.893734     0.000000    -0.000324     0.221588    -0.391321    -0.000324     0.002307     0.000665
464793.17514   0.8400693817   0.2930641491   276.003466     1.976242     0.074731    -1.594844     0.013208    -0.019892    -0.893736     0.000000    -0.000024     0.185412    -0.767864    -0.000024    -0.003291     0.000365
464793.18014   0.8400693827   0.2930641474   276.011461     1.977024     0.074865    -1.591334     0.013195    -0.019895    -0.893734     0.000000    -0.000923     0.136537    -0.553676    -0.000923    -0.001491    -0.002337
464793.18514   0.8400693837   0.2930641456   276.019441     1.977485     0.075214    -1.589128     0.013191    -0.019902    -0.893720     0.000000    -0.002222     0.029037    -0.210385    -0.002222     0.000708    -0.003838
464793.19014   0.8400693847   0.2930641438   276.027413     1.977491     0.075562    -1.587541     0.013190    -0.019911    -0.893709     0.000000    -0.000823    -0.038368    -0.499881    -0.000823    -0.001891     0.001166
464793.19514   0.8400693854   0.2930641422   276.035635     1.976083     0.075362    -1.584454     0.013158    -0.019868    -0.893722     0.000000     0.000076    -0.087642    -0.829491     0.000076    -0.001291     0.004368
464793.20014   0.8400693864   0.2930641404   276.043576     1.975588     0.076075    -1.580521     0.013157    -0.019870    -0.893739     0.000000    -0.000723    -0.075953    -0.701368    -0.000723     0.001407     0.001466
464793.20515   0.8400693873   0.2930641388   276.051230     1.975711     0.077267    -1.577903     0.013148    -0.019827    -0.893746     0.000000     0.001175    -0.151621    -0.230942     0.001175    -0.001291     0.000365
464793.21014   0.8400693883   0.2930641370   276.059144     1.974870     0.078147    -1.576533     0.013141    -0.019821    -0.893748     0.000000     0.001374    -0.181022    -0.336572     0.001374    -0.001591    -0.000035
464793.21514   0.8400693893   0.2930641352   276.067049     1.973843     0.079245    -1.574171     0.013141    -0.019818    -0.893744     0.000000    -0.000424    -0.216251    -0.691598    -0.000424     0.002107    -0.002237
464793.22014   0.8400693902   0.2930641334   276.074940     1.972750     0.080514    -1.570794     0.013147    -0.019822    -0.893733     0.000000    -0.001223    -0.189800    -0.636826    -0.001223     0.000008    -0.002137
464793.22514   0.8400693912   0.2930641317   276.082817     1.971768     0.081757    -1.568529     0.013141    -0.019826    -0.893728     0.000000     0.000276    -0.192705    -0.123359     0.000276    -0.002891     0.001566
464793.23015   0.8400693922   0.2930641299   276.090687     1.970832     0.083266    -1.567894     0.013134    -0.019823    -0.893738     0.000000     0.001374    -0.179051    -0.111625     0.001374     0.000908     0.002667
464793.23514   0.8400693932   0.2930641281   276.098552     1.969947     0.085219    -1.566426     0.013141    -0.019821    -0.893748     0.000000    -0.000923    -0.156566    -0.580102    -0.000923     0.002007     0.000365
464793.24014   0.8400693942   0.2930641264   276.106406     1.969253     0.087229    -1.563309     0.013144    -0.019827    -0.893751     0.000000    -0.001323    -0.086090    -0.663232    -0.001323    -0.001591     0.001666
464793.24515   0.8400693952   0.2930641246   276.114246     1.969008     0.089224    -1.560659     0.013138    -0.019830    -0.893759     0.000000     0.000575     0.021515    -0.260283     0.000575    -0.001092     0.001266
464793.25015   0.8400693962   0.2930641228   276.122076     1.969168     0.091380    -1.559520     0.013141    -0.019826    -0.893759     0.000000     0.001474     0.058632    -0.133140     0.001474     0.003406    -0.002837
464793.25515   0.8400693972   0.2930641211   276.129900     1.969499     0.093460    -1.557908     0.013151    -0.019817    -0.893746     0.000000     0.002573     0.101573    -0.612376     0.002573     0.000008    -0.001636
464793.26014   0.8400693982   0.2930641193   276.137711     1.970036     0.095259    -1.554488     0.013148    -0.019807    -0.893744     0.000000     0.001374     0.152337    -0.766907     0.001374    -0.001791     0.001966
464793.26515   0.8400693993   0.2930641176   276.145506     1.970982     0.097120    -1.551177     0.013149    -0.019801    -0.893756     0.000000     0.000875     0.279428    -0.440246     0.000875     0.003506     0.003167
464793.27014   0.8400694003   0.2930641158   276.153288     1.972404     0.099126    -1.549442     0.013163    -0.019797    -0.893767     0.000000     0.001175     0.318501    -0.145857     0.001175     0.001507     0.000565
464793.27514   0.8400694013   0.2930641141   276.161063     1.974097     0.100821    -1.548117     0.013162    -0.019791    -0.893770     0.000000     0.001275     0.382994    -0.417750     0.001275    -0.002991     0.000565
464793.28014   0.8400694023   0.2930641123   276.168829     1.976091     0.102166    -1.545547     0.013149    -0.019789    -0.893770     0.000000    -0.000523     0.441660    -0.619227    -0.000523    -0.001791    -0.001436
